"FrontEN","BackEN","FrontES","BackES","Tags","Category","Page"
"What is the intent of the Composite pattern?","Compose objects into tree structures to represent part-whole hierarchies. Composite lets clients treat individual objects and compositions of objects uniformly.","¿Cuál es la intención del patrón Composite?","Componer objetos en estructuras de árbol para representar jerarquías parte-todo. Composite permite a los clientes tratar objetos individuales y composiciones de objetos de manera uniforme.","intent composite structural","Structural","43"
"When would you use the Composite pattern?","• You want to represent part-whole hierarchies of objects
• You want clients to be able to ignore the difference between compositions of objects and individual objects
• You need to treat single elements and groups of elements uniformly","¿Cuándo usarías el patrón Composite?","• Quieres representar jerarquías parte-todo de objetos
• Quieres que los clientes puedan ignorar la diferencia entre composiciones de objetos y objetos individuales
• Necesitas tratar elementos individuales y grupos de elementos de manera uniforme","use-case composite structural","Structural","43"
"What are the key participants in the Composite pattern?","• Glyph: Abstract class for all objects in document structure
• Character/Rectangle: Leaf primitive elements
• Row/Column: Composite structural elements
• Composition: Special composite using formatting algorithm","¿Cuáles son los participantes clave en el patrón Composite?","• Glyph: Clase abstracta para todos los objetos en la estructura del documento
• Character/Rectangle: Elementos primitivos hoja
• Row/Column: Elementos estructurales compuestos
• Composition: Compuesto especial que usa algoritmo de formato","key-concepts composite structural","Structural","46"
"What are the benefits and drawbacks of the Composite pattern?","Benefits:
• Makes client code simpler by treating primitives and composites uniformly
• Makes it easy to add new kinds of components
• Provides flexibility at the finest levels of design

Drawbacks:
• Can make the design overly general
• Can make it harder to restrict components of a composite","¿Cuáles son los beneficios y desventajas del patrón Composite?","Beneficios:
• Hace el código cliente más simple al tratar primitivas y compuestos de manera uniforme
• Facilita agregar nuevos tipos de componentes
• Proporciona flexibilidad en los niveles más finos del diseño

Desventajas:
• Puede hacer el diseño excesivamente general
• Puede dificultar la restricción de componentes de un compuesto","benefits-drawbacks composite structural","Structural","47"
"What patterns are related to the Composite pattern?","• Iterator: Often used together to traverse composite structures
• Visitor: Can be used to apply operations over composite structures
• Decorator: Similar structure but different intent - Decorator adds responsibilities","¿Qué patrones están relacionados con el patrón Composite?","• Iterator: A menudo se usa junto con Composite para recorrer estructuras compuestas
• Visitor: Se puede usar para aplicar operaciones sobre estructuras compuestas
• Decorator: Estructura similar pero intención diferente - Decorator añade responsabilidades","related-patterns composite structural","Structural","47"
"What are key implementation considerations for the Composite pattern?","• Use inheritance to define common interface for all components
• Components should implement operations like Draw that work recursively
• Parent references let you traverse structure up and down
• Child management operations (Insert, Remove, Child) should be in common interface","¿Cuáles son las consideraciones de implementación clave para el patrón Composite?","• Usar herencia para definir interfaz común para todos los componentes
• Los componentes deben implementar operaciones como Draw que funcionen recursivamente
• Las referencias padre permiten recorrer la estructura hacia arriba y hacia abajo
• Las operaciones de gestión de hijos (Insert, Remove, Child) deben estar en la interfaz común","implementation composite structural","Structural","47"
"What are real-world examples of the Composite pattern?","• Document editors with text and graphics
• UI frameworks with nested components
• File system directories and files","¿Cuáles son ejemplos del mundo real del patrón Composite?","• Editores de documentos con texto y gráficos
• Frameworks de UI con componentes anidados
• Directorios y archivos del sistema de archivos","real-world composite structural","Structural","47"
"What is the intent of the Strategy pattern?","Define a family of algorithms, encapsulate each one, and make them interchangeable. Strategy lets the algorithm vary independently from clients that use it.","¿Cuál es la intención del patrón Strategy?","Definir una familia de algoritmos, encapsular cada uno y hacerlos intercambiables. Strategy permite que el algoritmo varíe independientemente de los clientes que lo usan.","intent strategy behavioral","Behavioral","48"
"When would you use the Strategy pattern?","• Many related classes differ only in their behavior
• You need different variants of an algorithm
• An algorithm uses data that clients shouldn't know about
• A class defines many behaviors that appear as multiple conditional statements","¿Cuándo usarías el patrón Strategy?","• Muchas clases relacionadas difieren solo en su comportamiento
• Necesitas diferentes variantes de un algoritmo
• Un algoritmo usa datos que los clientes no deberían conocer
• Una clase define muchos comportamientos que aparecen como múltiples declaraciones condicionales","use-case strategy behavioral","Behavioral","48"
"What are the key participants in the Strategy pattern?","• Strategy (Compositor): Declares interface common to all supported algorithms
• ConcreteStrategy (SimpleCompositor, TeXCompositor): Implements the algorithm using the Strategy interface
• Context (Composition): Maintains reference to a Strategy object and may define interface for Strategy to access its data","¿Cuáles son los participantes clave en el patrón Strategy?","• Strategy (Compositor): Declara la interfaz común a todos los algoritmos soportados
• ConcreteStrategy (SimpleCompositor, TeXCompositor): Implementa el algoritmo usando la interfaz Strategy
• Context (Composition): Mantiene una referencia a un objeto Strategy y puede definir una interfaz para que Strategy acceda a sus datos","key-concepts strategy behavioral","Behavioral","49"
"What are the benefits and drawbacks of the Strategy pattern?","Benefits:
• Families of related algorithms can be defined
• Alternative to subclassing for providing different behaviors
• Eliminates conditional statements
• Provides different implementations of same behavior

Drawbacks:
• Clients must be aware of different Strategies
• Communication overhead between Strategy and Context
• Increased number of objects","¿Cuáles son los beneficios y desventajas del patrón Strategy?","Beneficios:
• Se pueden definir familias de algoritmos relacionados
• Alternativa a la subclasificación para proporcionar diferentes comportamientos
• Elimina declaraciones condicionales
• Proporciona diferentes implementaciones del mismo comportamiento

Desventajas:
• Los clientes deben conocer las diferentes Strategies
• Sobrecarga de comunicación entre Strategy y Context
• Mayor número de objetos","benefits-drawbacks strategy behavioral","Behavioral","50"
"What patterns are related to the Strategy pattern?","• State: Similar structure but Strategy is about algorithms while State is about states
• Flyweight: Strategy objects often make good flyweights","¿Qué patrones están relacionados con el patrón Strategy?","• State: Estructura similar pero Strategy trata sobre algoritmos mientras que State trata sobre estados
• Flyweight: Los objetos Strategy a menudo son buenos flyweights","related-patterns strategy behavioral","Behavioral","50"
"What are key implementation considerations for the Strategy pattern?","• Define interfaces for Strategy and Context that are general enough to support range of algorithms
• Strategy interface should give ConcreteStrategies access to data they need from Context
• Make Strategy objects good Flyweights if they have no state","¿Cuáles son las consideraciones de implementación clave para el patrón Strategy?","• Definir interfaces para Strategy y Context que sean lo suficientemente generales para soportar un rango de algoritmos
• La interfaz Strategy debe dar a las ConcreteStrategies acceso a los datos que necesitan del Context
• Hacer que los objetos Strategy sean buenos Flyweights si no tienen estado","implementation strategy behavioral","Behavioral","50"
"What are real-world examples of the Strategy pattern?","• Text formatting algorithms (TeX, simple line breaking)
• Sorting algorithms that can be swapped
• Compression strategies
• Validation strategies","¿Cuáles son ejemplos del mundo real del patrón Strategy?","• Algoritmos de formato de texto (TeX, salto de línea simple)
• Algoritmos de ordenamiento que pueden intercambiarse
• Estrategias de compresión
• Estrategias de validación","real-world strategy behavioral","Behavioral","50"
"What is the intent of the Decorator pattern?","Attach additional responsibilities to an object dynamically. Decorators provide a flexible alternative to subclassing for extending functionality.","¿Cuál es la intención del patrón Decorator?","Adjuntar responsabilidades adicionales a un objeto dinámicamente. Los Decorators proporcionan una alternativa flexible a la subclasificación para extender funcionalidad.","intent decorator structural","Structural","51"
"When would you use the Decorator pattern?","• Add responsibilities to individual objects dynamically and transparently
• Responsibilities can be withdrawn
• Extension by subclassing is impractical due to explosion of subclasses
• You want to add functionality without affecting other objects","¿Cuándo usarías el patrón Decorator?","• Añadir responsabilidades a objetos individuales de forma dinámica y transparente
• Las responsabilidades pueden retirarse
• La extensión por subclasificación es impráctica debido a la explosión de subclases
• Quieres añadir funcionalidad sin afectar a otros objetos","use-case decorator structural","Structural","51"
"What are the key participants in the Decorator pattern?","• Component (Glyph): Defines interface for objects that can have responsibilities added
• ConcreteComponent (Composition): Defines object to which additional responsibilities can be attached
• Decorator (MonoGlyph): Maintains reference to Component object and defines interface that conforms to Component
• ConcreteDecorator (Border, Scroller): Adds responsibilities to the component","¿Cuáles son los participantes clave en el patrón Decorator?","• Component (Glyph): Define la interfaz para objetos que pueden tener responsabilidades añadidas
• ConcreteComponent (Composition): Define el objeto al que se pueden adjuntar responsabilidades adicionales
• Decorator (MonoGlyph): Mantiene referencia a objeto Component y define interfaz que se ajusta a Component
• ConcreteDecorator (Border, Scroller): Añade responsabilidades al componente","key-concepts decorator structural","Structural","52"
"What are the benefits and drawbacks of the Decorator pattern?","Benefits:
• More flexibility than static inheritance
• Avoids feature-laden classes high up in the hierarchy
• Responsibilities can be added and removed at run-time
• Functionality can be composed from simple pieces

Drawbacks:
• Decorator and its component aren't identical
• Lots of little objects that differ only in how they're interconnected
• Can complicate debugging","¿Cuáles son los beneficios y desventajas del patrón Decorator?","Beneficios:
• Más flexibilidad que la herencia estática
• Evita clases con muchas características en la parte superior de la jerarquía
• Las responsabilidades pueden añadirse y eliminarse en tiempo de ejecución
• Se pueden combinar múltiples decoradores

Desventajas:
• Muchos objetos pequeños en el sistema
• Puede ser difícil distinguir los decoradores entre sí
• Dificulta la configuración inicial","benefits-drawbacks decorator structural","Structural","53"
"What patterns are related to the Decorator pattern?","• Adapter: Adapter changes interface, Decorator enhances responsibilities
• Composite: Decorator can be viewed as degenerate composite with one component
• Strategy: Decorator changes skin of object, Strategy changes guts","¿Qué patrones están relacionados con el patrón Decorator?","• Adapter: Cambia la interfaz de un objeto; Decorator mejora las responsabilidades
• Composite: Estructura similar pero intención diferente - Composite representa jerarquías parte-todo
• Strategy: Cambia el interior de un objeto; Decorator cambia el exterior","related-patterns decorator structural","Structural","53"
"What are key implementation considerations for the Decorator pattern?","• Decorator must have same interface as component it decorates
• Keep Component classes lightweight - focus on interface not storage
• Use transparent enclosure - decorator forwards all requests by default
• Decorator can add operations before/after forwarding","¿Cuáles son las consideraciones de implementación clave para el patrón Decorator?","• Mantener interfaz del componente simple para permitir decoración flexible
• Omitir la clase Decorator abstracta si solo necesitas un decorador
• Mantener ligeras las clases Component para evitar sobrecarga por decoración
• Los decoradores deben actuar como proxies transparentes","implementation decorator structural","Structural","53"
"What are real-world examples of the Decorator pattern?","• Scrollable and bordered windows
• Stream decorators (BufferedInputStream, etc.)
• UI component embellishments","¿Cuáles son ejemplos del mundo real del patrón Decorator?","• Añadir bordes y barras de desplazamiento a componentes de UI
• Flujos de E/S con características como buffering, compresión, encriptación
• Embellecimientos de texto con diferentes estilos de formato","real-world decorator structural","Structural","53"
"What is the intent of the Abstract Factory pattern?","Provide an interface for creating families of related or dependent objects without specifying their concrete classes.","¿Cuál es la intención del patrón Abstract Factory?","Proporcionar una interfaz para crear familias de objetos relacionados o dependientes sin especificar sus clases concretas.","intent abstract-factory creational","Creational","54"
"When would you use the Abstract Factory pattern?","• System should be independent of how its products are created
• System should be configured with one of multiple families of products
• Family of related product objects is designed to be used together
• You want to provide class library of products and reveal only interfaces","¿Cuándo usarías el patrón Abstract Factory?","• Un sistema debe ser independiente de cómo se crean, componen y representan sus productos
• Un sistema debe configurarse con una de múltiples familias de productos
• Una familia de objetos de producto relacionados está diseñada para usarse juntos
• Quieres proporcionar una biblioteca de productos y solo revelar sus interfaces, no sus implementaciones","use-case abstract-factory creational","Creational","54"
