"FrontEN","BackEN","FrontES","BackES","Tags","Category","Page"
"What is the intent of the Mediator Pattern?","Defines an object that encapsulates how a set of objects interact, promoting loose coupling by keeping objects from referring to each other explicitly.","¿Cuál es la intención del Patrón Mediador?","Define un objeto que encapsula cómo interactúa un conjunto de objetos, promoviendo el bajo acoplamiento al evitar que los objetos se refieran entre sí explícitamente.","intent mediator-pattern behavioral design-patterns","Behavioral","100"
"When would you use the Mediator Pattern?","• When a set of objects communicate in complex but well-defined ways
• When reusing an object is difficult because it refers to and communicates with many other objects
• When behavior distributed between several classes should be customizable without subclassing","¿Cuándo usarías el Patrón Mediador?","• Cuando un conjunto de objetos se comunica de maneras complejas pero bien definidas
• Cuando la reutilización de un objeto es difícil porque se refiere y se comunica con muchos otros objetos
• Cuando el comportamiento distribuido entre varias clases debe ser personalizable sin usar subclases","use-case mediator-pattern behavioral design-patterns","Behavioral","100"
"What are the key participants in the Mediator Pattern?","• Mediator class: Defines interface for communicating with Colleague objects
• Specific Collaborator: Implements cooperative behavior by coordinating Colleague objects","¿Cuáles son los participantes clave en el Patrón Mediador?","• Clase Mediator: Define la interfaz para comunicarse con objetos Colleague
• Colaborador Específico: Implementa comportamiento cooperativo coordinando objetos Colleague","key-concepts mediator-pattern behavioral design-patterns","Behavioral","100"
"What are the benefits and drawbacks of the Mediator Pattern?","Benefits:
• Limits subclassing by localizing behavior in one place
• Decouples colleagues - can vary independently
• Simplifies object protocols - replaces many-to-many interactions with one-to-many
• Abstracts how objects cooperate

Drawbacks:
• Mediator can become a monolithic object that's difficult to maintain
• Centralizes control which can create a complexity bottleneck","¿Cuáles son los beneficios e inconvenientes del Patrón Mediador?","Beneficios:
• Limita el uso de subclases localizando el comportamiento en un solo lugar
• Desacopla colegas - pueden variar independientemente
• Simplifica los protocolos de objetos - reemplaza interacciones muchos-a-muchos con uno-a-muchos
• Abstrae cómo cooperan los objetos

Inconvenientes:
• El mediador puede convertirse en un objeto monolítico difícil de mantener
• Centraliza el control, lo que puede crear un cuello de botella de complejidad","benefits-drawbacks mediator-pattern behavioral design-patterns","Behavioral","100"
"What patterns are related to the Mediator Pattern?","• Observer Pattern: Mediator often uses Observer for colleague communication
• Strategy Pattern: Alternative that uses composition; both encapsulate behavior
• Rendezvous Pattern: Used together for thread coordination","¿Qué patrones están relacionados con el Patrón Mediador?","• Patrón Observer: El Mediador a menudo usa Observer para la comunicación entre colegas
• Patrón Strategy: Alternativa que usa composición; ambos encapsulan comportamiento
• Patrón Rendezvous: Se usa junto con el Mediador para la coordinación de hilos","related-patterns mediator-pattern behavioral design-patterns","Behavioral","100"
"What are key implementation considerations for the Mediator Pattern?","• Must implement reset() method for the mediator
• Subclasses can be used to customize mediator behavior
• Mediator coordinates colleague communication and interaction logic","¿Cuáles son las consideraciones clave de implementación para el Patrón Mediador?","• Debe implementar el método reset() para el mediador
• Las subclases pueden usarse para personalizar el comportamiento del mediador
• El mediador coordina la comunicación entre colegas y la lógica de interacción","implementation mediator-pattern behavioral design-patterns","Behavioral","103"
"What are real-world examples of the Mediator Pattern?","• Robot Arm Manager (RobotArmManager.c and RobotArmManager.h) for coordinating robot arm components
• Coordination of multiple embedded system components
• Systems where multiple objects need centralized interaction control","¿Cuáles son ejemplos del mundo real del Patrón Mediador?","• Gestor de Brazo Robótico (RobotArmManager.c y RobotArmManager.h) para coordinar componentes del brazo robótico
• Coordinación de múltiples componentes de sistemas embebidos
• Sistemas donde múltiples objetos necesitan control de interacción centralizado","real-world mediator-pattern behavioral design-patterns","Behavioral","103"
"What is the intent of the Message Queuing Pattern?","Enable asynchronous communication between tasks or threads by buffering messages in a queue.","¿Cuál es la intención del Patrón de Cola de Mensajes?","Habilitar la comunicación asíncrona entre tareas o hilos mediante el almacenamiento de mensajes en una cola.","intent message-queuing-pattern behavioral design-patterns","Behavioral","207"
"When would you use the Message Queuing Pattern?","• When tasks need to communicate asynchronously
• When you want to decouple message producers from consumers
• When messages can be passed by reference rather than value","¿Cuándo usarías el Patrón de Cola de Mensajes?","• Cuando las tareas necesitan comunicarse de forma asíncrona
• Cuando quieres desacoplar los productores de mensajes de los consumidores
• Cuando los mensajes pueden pasarse por referencia en lugar de por valor","use-case message-queuing-pattern behavioral design-patterns","Behavioral","207"
"What are the key participants in the Message Queuing Pattern?","• MessageQueue: Manages queue of messages with lock() and release() methods for thread safety
• QTask: Task that interacts with the message queue using insert() and remove()
• Message: Data structure representing queued messages with Head pointer","¿Cuáles son los participantes clave en el Patrón de Cola de Mensajes?","• MessageQueue: Gestiona la cola de mensajes con métodos lock() y release() para seguridad de hilos
• QTask: Tarea que interactúa con la cola de mensajes usando insert() y remove()
• Message: Estructura de datos que representa mensajes en cola con puntero Head","key-concepts message-queuing-pattern behavioral design-patterns","Behavioral","207"
"What are the benefits and drawbacks of the Message Queuing Pattern?","Benefits:
• Enables asynchronous communication between tasks
• Decouples message senders from receivers
• Buffers messages when receiver is busy

Drawbacks:
• Requires memory for queue storage (QUEUE_SIZE)
• Can introduce latency
• Queue overflow possible if not properly sized","¿Cuáles son los beneficios e inconvenientes del Patrón de Cola de Mensajes?","Beneficios:
• Habilita la comunicación asíncrona entre tareas
• Desacopla los remitentes de mensajes de los receptores
• Almacena mensajes cuando el receptor está ocupado

Inconvenientes:
• Requiere memoria para almacenamiento de la cola (QUEUE_SIZE)
• Puede introducir latencia
• Desbordamiento de cola posible si no está dimensionada adecuadamente","benefits-drawbacks message-queuing-pattern behavioral design-patterns","Behavioral","207"
"What are key implementation considerations for the Message Queuing Pattern?","• MessageQueue uses Mutex (lock() and release()) for thread safety
• Public functions include MessageQueue_remove(), MessageQueue_isEmpty(), MessageQueue_isFull()
• Private functions handle internal queue management
• Messages are passed by reference for efficiency
• QUEUE_SIZE must be defined appropriately","¿Cuáles son las consideraciones clave de implementación para el Patrón de Cola de Mensajes?","• MessageQueue usa Mutex (lock() y release()) para seguridad de hilos
• Las funciones públicas incluyen MessageQueue_remove(), MessageQueue_isEmpty(), MessageQueue_isFull()
• Las funciones privadas manejan la gestión interna de la cola
• Los mensajes se pasan por referencia para eficiencia
• QUEUE_SIZE debe definirse apropiadamente","implementation message-queuing-pattern behavioral design-patterns","Behavioral","207"
"What is the intent of the Multiple Event Receptor Pattern?","Enable state machines to handle multiple events from different sources, processing events based on current state and substate.","¿Cuál es la intención del Patrón de Receptor de Múltiples Eventos?","Habilitar máquinas de estado para manejar múltiples eventos de diferentes fuentes, procesando eventos basándose en el estado y subestado actual.","intent multiple-event-receptor-pattern behavioral design-patterns","Behavioral","287"
"When would you use the Multiple Event Receptor Pattern?","• When state machine must handle events from multiple sources
• When nested states (OR-states and And-states) are needed
• When complex event dispatching logic is required","¿Cuándo usarías el Patrón de Receptor de Múltiples Eventos?","• Cuando la máquina de estado debe manejar eventos de múltiples fuentes
• Cuando se necesitan estados anidados (estados-OR y estados-And)
• Cuando se requiere lógica compleja de despacho de eventos","use-case multiple-event-receptor-pattern behavioral design-patterns","Behavioral","287"
