"FrontEN","BackEN","FrontES","BackES","Tags","Category","Page"
"What is a Model in MDSE?","An abstraction of reality made with a given purpose in mind. Models do not contain all information but preserve information necessary to perform the intended application.","¿Qué es un Modelo en MDSE?","Una abstracción de la realidad hecha con un propósito específico en mente. Los modelos no contienen toda la información, pero preservan la información necesaria para realizar la aplicación prevista.","definition model core-dsl-concepts","Core DSL Concepts","5"
"What problem does a Model solve?","To combat complexity of problems, solution designs, and system implementations through abstraction and simplification while retaining relevant information.","¿Qué problema resuelve un Modelo?","Combatir la complejidad de los problemas, diseños de soluciones e implementaciones de sistemas a través de abstracción y simplificación mientras se retiene información relevante.","purpose model core-dsl-concepts","Core DSL Concepts","5"
"When would you use a Model?","• When dealing with complex systems that need to be understood
• When assessing system properties before prototyping
• When steering construction, production, and servicing processes
• When evaluating non-structural properties like reliability or cost","¿Cuándo usarías un Modelo?","• Al tratar con sistemas complejos que necesitan ser comprendidos
• Al evaluar propiedades del sistema antes de crear prototipos
• Al dirigir procesos de construcción, producción y servicio
• Al evaluar propiedades no estructurales como fiabilidad o costo","when-to-use model core-dsl-concepts","Core DSL Concepts","5"
"How does a Model work?","Models simplify reality by eliminating information with respect to a given purpose. They can both hide information and approximate, as long as abstraction doesn't hide relevant information and approximation leads to acceptably small errors.","¿Cómo funciona un Modelo?","Los modelos simplifican la realidad eliminando información con respecto a un propósito dado. Pueden tanto ocultar información como aproximar, siempre que la abstracción no oculte información relevante y la aproximación conduzca a errores aceptablemente pequeños.","how-it-works model core-dsl-concepts","Core DSL Concepts","5"
"What are the benefits and drawbacks of using Models?","Benefits:
• Reduces complexity through abstraction
• Purpose-specific and domain-specific representations
• Enables analysis before physical implementation
• Cheaper to build and modify than physical prototypes
• Allows animation, simulation, and computation of properties

Drawbacks:
• All models are wrong to some degree (abstractions and approximations)
• Must be carefully designed to not hide relevant information
• Quality depends on proper scoping and abstraction level","¿Cuáles son los beneficios y desventajas de usar Modelos?","Beneficios:
• Reduce la complejidad a través de la abstracción
• Representaciones específicas del propósito y del dominio
• Permite análisis antes de la implementación física
• Más baratos de construir y modificar que prototipos físicos
• Permite animación, simulación y cálculo de propiedades

Desventajas:
• Todos los modelos son incorrectos en cierto grado (abstracciones y aproximaciones)
• Deben diseñarse cuidadosamente para no ocultar información relevante
• La calidad depende del alcance adecuado y nivel de abstracción","benefits-drawbacks model core-dsl-concepts","Core DSL Concepts","5"
"What concepts are related to Model?","• Domain-Specific Language - DSLs define the language used to express models in a domain
• Abstraction - Models are created through abstraction","¿Qué conceptos están relacionados con Modelo?","• Lenguaje Específico de Dominio - Los DSL definen el lenguaje usado para expresar modelos en un dominio
• Abstracción - Los modelos se crean a través de la abstracción","related-concepts model core-dsl-concepts","Core DSL Concepts","5"
"What are real-world examples of Models?","• Architectural blueprints for buildings
• Three-dimensional models for car chassis design
• Analog-circuit models for electrical systems
• Relational-database queries
• HTML web pages and style sheets","¿Cuáles son ejemplos del mundo real de Modelos?","• Planos arquitectónicos para edificios
• Modelos tridimensionales para diseño de chasis de automóviles
• Modelos de circuitos analógicos para sistemas eléctricos
• Consultas de bases de datos relacionales
• Páginas web HTML y hojas de estilo","real-world model core-dsl-concepts","Core DSL Concepts","5"
"What is a Domain-Specific Language (DSL)?","A computer programming or modeling language of limited expressiveness focused on a particular domain or its aspect.","¿Qué es un Lenguaje Específico de Dominio (DSL)?","Un lenguaje de programación o modelado informático de expresividad limitada enfocado en un dominio particular o su aspecto.","definition dsl core-dsl-concepts","Core DSL Concepts","26"
"What problem does a Domain-Specific Language solve?","To raise the abstraction level in software development by introducing domain-specific concepts directly into the language, making software customizable by domain experts who are not programmers.","¿Qué problema resuelve un Lenguaje Específico de Dominio?","Elevar el nivel de abstracción en el desarrollo de software introduciendo conceptos específicos del dominio directamente en el lenguaje, haciendo que el software sea personalizable por expertos del dominio que no son programadores.","purpose dsl core-dsl-concepts","Core DSL Concepts","26"
"When would you use a Domain-Specific Language?","• When domain concepts are coherent and understandable to practitioners
• When substantial boilerplate code can be replaced with concise models
• When language can be reused across multiple projects
• When non-programmers need to customize systems
• When increased reliability and productivity are needed","¿Cuándo usarías un Lenguaje Específico de Dominio?","• Cuando los conceptos del dominio son coherentes y comprensibles para los profesionales
• Cuando se puede reemplazar código repetitivo sustancial con modelos concisos
• Cuando el lenguaje puede reutilizarse en múltiples proyectos
• Cuando los no programadores necesitan personalizar sistemas
• Cuando se necesita mayor fiabilidad y productividad","when-to-use dsl core-dsl-concepts","Core DSL Concepts","26"
